psmiles,Energy_Hatree,es,Isotropic_Polarizability_au,HOMO_eV,LUMO_eV,Inner_energy_correction_Hatree,Thermal_correction_to_Enthalpy_Hatree,Thermal_correction_to_Gibbs_Free_Energy_Hatree,Entropy_Hatree,Dipole_Debye,Gibbs_Free_Energy_Hatree,Enthalpy_Hatree,HOMO_LUMO_Gap_eV
*Nc1ccc(Br)c(NC(=O)CSc2cccc(C(*)=O)c2)c1C(=O)O,-4000.247217,0.9995883,250.73867,-8.2702,-0.1018,0.29095076,0.00094421,0.22001609,0.07187889,2.84032586,-4000.027201,-3999.955322,8.1684
*Nc1ccc(NC(=O)c2cc(C(*)=O)cc(S(=O)(=O)F)c2)c(C(=O)O)c1Br,-4210.684448,0.9990283,266.31577,-8.3327,-0.7862,0.26554558,0.00094421,0.1897853,0.07670449,5.715482935,-4210.494662,-4210.417958,7.5465
*Nc1cc(Cl)cc(NC(=O)c2nc(C(F)(F)F)[nH]c2C(*)=O)c1C(=O)O,-1780.063707,0.99637836,227.38256,-8.2431,-0.6231,0.23678989,0.00094421,0.16357526,0.07415884,4.794512404,-1779.900132,-1779.825973,7.62
*NC(=Nc1ccc(C(=O)O)cc1)NC(=O)C(C)(CC)C(*)=O,-1008.962983,0.99166006,208.28743,-8.9062,-0.0954,0.32342335,0.00094421,0.25302794,0.07133963,5.899356162,-1008.709955,-1008.638615,8.8108
*Nc1ccc(C(=O)O)c(Br)c1NC(=O)C(C(*)=O)N(C(=O)OCc1ccccc1)c1ccccc1,,0.99489516,,,,0.43934652,0.00094421,0.35223297,0.08805777,6.403570054,0.35223297,0.44029073,
*Nc1c(Cl)ccc(C(=O)O)c1NC(=O)c1oc(C(*)=O)c(Cl)c1Cl,-2365.924073,0.99802387,241.7227,-8.6693,-1.0308,0.21153649,0.00094421,0.14233286,0.07014784,1.494768655,-2365.78174,-2365.711592,7.6385
*Nc1cc(C(=O)O)cc(NC(=O)c2ccc(C(C)(C)C)cc2C(*)=O)c1OC,-1261.087715,0.99861956,282.94827,-8.4967,-0.0374,0.42028214,0.00094421,0.34056808,0.08065827,7.375731804,-1260.747147,-1260.666489,8.4593
*Nc1ccc(Nc2ccc(NC(=O)CCC(=O)NC(C(*)=O)C(C)C)cc2S(=O)(=O)O)cc1,,0.98739934,,,,,,,,,,,
*Nc1ccc(-c2ccc(NC(=O)CN(CC(*)=O)N=Cc3cccc(OC)c3)c(S(=O)(=O)O)c2)cc1S(=O)(=O)O,-2621.502468,0.9350951,410.69251,-8.2537,-0.191,0.50980136,0.00094421,0.41005794,0.10068763,5.834112914,-2621.09241,-2620.991723,8.0627
*Nc1c(C(=O)O)cc(Cl)c(F)c1NC(=O)c1ccc(S(=O)(=O)NCCNS(=O)(=O)c2ccc(C(*)=O)cc2)cc1,-3065.894318,0.8557005,396.59145,-8.4565,-0.5786,0.461893,0.00094421,0.36174082,0.1010964,5.130801066,-3065.532577,-3065.431481,7.8779
