smiles_list,density,Rg,Scaled Rg,Cp,Cv,bulk_modulus,isentropic_bulk_modulus,r2,static_dielectric_const,dielectric_const_dc,nematic_order_parameter,refractive_index
*OCCCCCCCCC(=O)NCCCCCCNC(=O)c1ccc(C(=O)NCCCO*)cc1,1.071234692,19.10441952,0.101191056,3465.249853,3371.142178,4128608633,4243849138,16.46460863,36.65041743,37.89684222,0.052095134,1.498807791
*CCC(=O)NCc1cc(C)c(CNC(=O)CCCCC(=O)NCCCOCCO*)cc1C,1.118354517,17.68901047,0.09295209,3275.08242,3199.756457,4995528971,5113122998,19.73565071,1.898751207,3.183305768,0.083322115,1.5114743
*OCCOCCNC(=O)CCCCC(=O)NCc1cc(C)c(CNC(=O)CCO*)cc1C,1.137337484,19.31295068,0.097133453,3581.470146,3361.263708,4014693962,4277550719,28.75204985,4.981703197,6.288311952,0.086589639,1.518752368
*CCCCCNC(=O)CCCCCOCCCCCC(=O)NCCCCCCNC(=O)CCOCCCC*,1.005235613,22.82091926,0.131082559,3961.935861,3874.930526,3926557940,4014905595,22.82394761,53.47276026,54.65890954,0.166197051,1.478563247
*CCCCCCCCC(=O)NCCCCCCNC(=O)CCCCCCCCC(=O)NCCCOCCO*,1.005543043,21.16544756,0.121573588,3853.693985,3700.502145,3862703537,4022527283,35.72937716,37.64463912,38.82542044,0.087641568,1.476746869
*CCCCCCCCC(=O)NCc1ccc(CNC(=O)CCCCCCCC(CCl)CO*)cc1,1.057689345,21.86262195,0.113328443,3538.046944,3424.040517,4202720173,4342668743,23.59335259,12.02037204,13.23245767,0.090152936,1.487308183
*CCCCCCC(=O)NCCCCCCNC(=O)CCCCCOCCCCCC(=O)NCCCCCO*,1.002781638,22.06423497,0.126736191,5113.001206,4338.062669,3110580522,3663777722,22.40859825,41.11523488,42.24549525,0.133291566,1.459541147
*CCCCCCCCC(=O)NCCCCCOCCCCCNC(=O)CCCCCCCCOCCCCCCC*,0.948111718,21.578085,0.126326578,4224.262505,3960.857591,3517234505,3751010986,26.67003321,25.7629725,26.8833842,0.045985085,1.456163351
*CCCCCCC(=O)NCc1ccc(CC(C#N)(C#N)Cc2ccc(O*)cc2)cc1,1.079614513,21.38267056,0.106765107,3180.136352,3110.516009,3391900751,3468013768,26.15337012,1.401172886,2.741146697,0.036256817,1.529697294
*CC(=O)NNC(=O)c1cccc(C(=O)NNC(=O)c2cccc(CO*)c2)c1,1.281318325,24.51377614,0.107570846,2700.333625,2695.32993,4251868488,4260256354,34.50975062,2.010232706,3.685774495,0.049037837,1.635708345
*CCCCCC(=O)NCc1ccc(CNC(=O)CCCCCC(CO*)COC(C)=O)cc1,1.083357631,19.43748689,0.102274844,3343.07944,3222.162017,4440832724,4607451385,24.89218789,18.79865097,20.01358342,0.11374203,1.488264912
*c1ccc(NC(=O)CCCCC(=O)Nc2ccc(Oc3ccc(*)cc3)cc2)cc1,1.171246474,28.10513573,0.13434203,3139.138957,3036.628563,4371577056,4519090843,56.22671945,1.585309678,3.281377361,0.057881232,1.641970671
*CCCCCCCC(=O)NNC(=O)c1ccc(C(=O)NCCCCCCNC(*)=O)cc1,1.108424259,26.36190242,0.136049827,3299.324038,3237.323904,5145832026,5244379119,59.06392534,22.76546813,24.12999919,0.079081342,1.537703176
*CCCCC(=O)NCCCOC1CCC(OCCCNC(=O)COc2ccc(O*)cc2)CC1,1.104406847,16.00212154,0.08244752,3537.223328,3472.327683,4314673213,4395297217,11.48479899,1.868793292,3.103297038,0.054764015,1.494825657
*Oc1ccc(S(=O)(=O)N(C)CCCCCCCCNC(=O)c2ccc(*)o2)cc1,1.186145925,20.68251833,0.099067763,3140.17765,2942.021285,4131024882,4409189287,34.60359557,1.346491565,2.732034668,0.047104061,1.544520347
*Oc1ccc(S(=O)(=O)NCCCCCCNC(=O)c2cc(=O)cc(*)o2)cc1,1.257186643,17.44701165,0.077836106,2656.378653,2614.927019,3959431376,4022270596,15.71003532,1.508260728,2.919026486,0.053054737,1.552664084
*CCCCCCCC(=O)NCCCCCCNC(=O)CCc1ccc(*)c(C(F)(F)F)c1,1.110214979,17.53069595,0.089240963,3260.014244,3192.522759,3812836060,3892909651,21.11309019,1.890924602,3.053700461,0.070711257,1.470637909
*Oc1c(C)c(C)c(NCCOCCOCCNC(=O)CN2CCN(*)CC2)c(C)c1C,1.109483308,14.05949175,0.073583876,3420.103654,3357.214351,4222769128,4301824515,12.20027853,1.402264021,2.72077655,0.048551608,1.522666257
*OCCOCCNC(=O)CCCCC(=O)NCCOCCOCCNC(=O)CN1CCN(*)CC1,1.154108281,14.5282167,0.075818632,3329.126907,3246.852868,5680505908,5824463506,12.35746721,5.087052901,6.302957661,0.110148006,1.488591536
*CCOCC(=O)NCCCCCCNC(=O)COc1ccc(CCc2ccc(O*)cc2)cc1,1.122193984,21.55050219,0.107670633,3289.248066,3214.481619,4492746516,4597207595,24.09292376,4.653772455,5.968730104,0.115840148,1.521498488
*OCCCC(=O)NCCCCCOCCCCCNC(=O)CCCCC(=O)Nc1ccc(*)cc1,1.092760535,22.48549212,0.119099704,3564.811706,3423.765151,3510750829,3655236466,37.46636246,9.374850958,10.62393591,0.071510086,1.499694954
*CCCCCCOCCCCCCCCCNC(=O)COc1ccc(CCc2ccc(O*)cc2)cc1,1.031562577,21.88540633,0.118631081,3543.271948,3448.718099,3430114840,3524147129,27.21724633,16.4885561,17.79544396,0.041522829,1.518844249
